id,sentence,eng_result,kor_result
2470,2020. 12. 16. 서울남부지방법원에서 공용물건손상죄 등으로 징역 8월에 집행유예 2년을 선고받고 2020. 12. 24. 그 판결이 확정되어 그 집행유예기간 중에 있었다.,"On December 16, 2020, the Seoul Southern District Court sentenced him to eight months in prison for damages to public goods and two years of probation, and the judgment was finalized on December 24, 2020, and he was in the process of probation.","서울남부지법은 2020년 12월 16일 공공재 손해배상 혐의로 징역 8개월에 집행유예 2년을 선고했고, 2020년 12월 24일 판결이 확정돼 집행유예 절차를 밟고 있다."
2501,동종 범행으로 처벌받은 전력도 있고,He's been punished for the same crime,그는 같은 범죄로 벌을 받았다.
2566,피고인이 폭력범죄의 전과가 수회 있음에도 공무집행 중인 경찰관을 상대로 다시 폭력행위를 한 이 사건 범행은 사회법질서와 공권력의 확립을 위해 엄벌에 처할 필요가 있다.,"Even though the Defendant has several criminal records of violent crimes, the crime of this case, which committed violence against police officers who are performing official duties again, needs to be severely punished to establish social legal order and public power.",피고인이 강력범죄 전과가 여러 차례 있음에도 다시 공무를 수행하는 경찰관에게 폭력을 행사한 이 사건 범죄는 사회적 법질서와 공권력 확립을 위해 엄벌이 필요하다.
2566,폭력전과가 있으나 공무집행방해 범행은 이번이 처음인 점,"Although he has a history of violence, this is the first time he has committed an obstruction of justice",폭력 전력은 있지만 공무집행방해죄는 이번이 처음이다.
2583,동종 범죄나 벌금형을 초과하는 형으로 처벌받은 전력이 없는 점,The fact that he has no history of being punished for a crime of the same kind or for a penalty exceeding a fine;,동종의 죄 또는 벌금을 초과하는 벌금에 처하여 처벌받은 전력이 없다는 사실
2635,음주운전으로 인한 벌금형 2회의 처벌전력만 있는 점,There is only a history of punishment for two fines for drunk driving,음주운전 벌금 2건에 대한 처벌 전력이 있을 뿐이다.
2679,집행유예 3년,suspended sentence of three years,집행유예 3년
2679,○ 피고인은 형사처벌을 받은 전력이 없다.,○ The accused has no criminal record.,○ 피고는 전과가 없다.
3263,징역형 이상의 전과가 없다.,There is no criminal record more than a prison sentence.,징역형 이상의 전과는 없다.
3344,피고인이 형사처벌을 받은 전력이 없고,The defendant has no criminal record,피고는 전과가 없다.
3912,3. 선고형의 결정 : 금고 6개월 및 집행유예 2년,3. Decision of sentence: imprisonment for 6 months and probation for 2 years,"3. 형의 결정 : 징역 6개월, 집행유예 2년"
3912,피고인은 벌금형을 초과하는 형사처벌을 받은 전력도 없다.,The Defendant has no history of criminal punishment exceeding the fine.,피고는 벌금을 초과하는 형사처벌을 받은 전력이 없다.
4106,집행유예 1년,suspended sentence of one year,집행유예 1년
6065,한편 피고인이 아무런 범죄전력 없는 초범인 점,"On the other hand, the Defendant is a first-time offender with no criminal history",그러나 피고는 전과가 없는 초범이다.
6390,동종 범죄로 처벌받은 전력이 있는 점,He has a history of being punished for a crime of the same kind,그는 동종 범죄로 처벌받은 전력이 있다.
6390,집행유예를 초과하여 처벌받은 전력은 없는 점 등을 비롯하여,"Including the fact that there is no history of being punished for exceeding the probation,","집행유예를 초과하여 처벌받은 전력이 없는 점 등을 포함하여,"
6470,피고인에게 실형 전과를 포함하여 동종 범죄로 처벌받은 전력이 여러 차례 있다.,"The Defendant has a history of being punished for the same crime several times, including a criminal record of imprisonment.",피고인은 금고 이상의 전과가 있는 등 여러 차례 같은 죄로 처벌을 받은 전력이 있다.
6614,3. 선고형의 결정: 징역 5개월 및 집행유예,3. Decision of sentence: 5 months in prison and suspended sentence,3. 선고결정 : 징역 5개월 및 집행유예
6713,3. 선고형의 결정: 징역 8월의 집행유예 2년,3. Sentencing Decision: 8 months in prison suspended for 2 years,3. 선고공판 : 징역 8월 집행유예 2년
6713,벌금형을 넘는 전과는 없는 점은 유리한 정상으로 참작한다.,The fact that there is no criminal record exceeding the fine is taken into account as an advantageous normal.,과태료를 초과한 전과가 없는 점도 유리한 정상으로 꼽힌다.
6730,그 중 2회는 징역형의 집행유예 처벌을 받은 것인데,Two of them were suspended from prison,그들 중 두 명은 감옥에서 정직당했다.
6730,그 각 집행유예 처벌을 받은 이후에도 피해자로부터 계속하여 상품권을 공급받아 돌려막기를 해온 것으로 보인다.,"Even after receiving each probation punishment, it seems that the gift certificate was continuously supplied from the victim and blocked.",보호관찰 처분을 각각 받고도 피해자로부터 지속적으로 상품권이 공급돼 차단된 것으로 보인다.
6877,벌금형 이외에 동종전과는 없는 점,There is no similar criminal record other than a fine,벌금 외에 유사한 전과가 없다.
6880,피고인이 처벌받은 전력이 19회에 이르고 그중에는 4회의 실형전과도 포함되어 있는 점 등의 사정을 고려하면 실형의 선고가 불가피하다고 보여 양형기준에 따른 권고형의 범위 내에서 징역 1년을 선고한다.,"Considering the fact that the Defendant has been punished 19 times, including four prison sentences, a sentence of imprisonment is inevitable, so a year in prison is sentenced within the scope of the recommended sentence according to the sentencing standards.",피고인이 징역 4회를 포함해 19회에 걸쳐 처벌받은 점을 고려하면 징역형 선고가 불가피해 양형기준에 따라 권고 형량 범위 내에서 징역 1년을 선고한다.
6910,피고인에게 형사처벌을 받은 전력이 없는 점 등,"The fact that the Defendant has no history of criminal punishment, etc",피고인이 형사처벌 전력이 없다는 점 등
7920,피고인은 2011. 경 상해죄로 벌금 200만 원 받은 전력 있고 그 외에 다른 폭력 전과는 없는 점,"The Defendant has a history of receiving a fine of KRW 2 million for minor injury in 2011, and has no other violent criminal record","피고인은 2011년 경미한 상해로 벌금 200만원을 받은 전력이 있으며, 그 밖에 강력범죄 전력이 없다."
8107,벌금형을 초과하는 전과 및 폭력전과가 없는 점,The fact that there is no criminal record exceeding a fine or a criminal record of violence;,과태료를 초과하는 전과 또는 폭력 전과가 없는 점
8309,과거에도 다수의 폭력 전과가 있었다.,There have been a number of violent criminal records in the past.,과거에도 폭력 전과가 많았다.
8309,동종 전과는 16년 전에 발생한 것인 점 등의 유리한 정상을 참작하여 형의 집행을 유예하기로 하고,The execution of the sentence will be suspended in consideration of favorable circumstances such as the fact that the same criminal record occurred 16 years ago,16년 전 같은 전과가 발생한 점 등 유리한 사정을 고려해 형 집행을 유예한다.
8370,3. 선고형의 결정 : 징역 8월의 집행유예 2년,3. Decision of sentence: 8 months in prison with a suspended sentence of 2 years,3. 형의 결정 : 징역 8월에 집행유예 2년
9132,절도죄로 형 집행을 종료한 후 한 달도 지나지 아니한 누범 기간 중에 이 사건 범행을 저질렀다.,The crime in this case was committed during the period of repeated crimes less than a month after the execution of the sentence was terminated for theft.,이 사건 범행은 절도죄로 형 집행이 종료된 지 한 달이 채 되지 않은 상태에서 반복 범행을 저지른 것이다.
9132,전과관계 등 제반 양형조건을 종합하여 주문과 같이 형을 정한다.,The sentence is determined as per Disposition by synthesizing all sentencing conditions such as criminal conviction.,형사상 유죄판결 등 모든 양형조건을 종합하여 처분에 따라 형이 결정된다.
9748,벌금형을 초과하는 형사처벌을 받은 전력이 없는 점,The fact that he/she has no history of criminal punishment exceeding a fine;,벌금을 초과하는 형사처벌을 받은 전력이 없다는 사실
9748,○ 불리한 양형조건 : 폭력 범죄로 수회 형사처벌을 받은 전력이 있는 점,○ Adverse sentencing conditions: There is a history of criminal punishment several times for violent crimes,○ 불리한 선고 조건: 강력범죄로 형사처벌을 여러 차례 받은 전력이 있다.
3,처벌 전력이 없는 초범인 점의 유리한 정상,a favorable summit of a first-time offender with no history of punishment,처벌 전력이 없는 초범자의 호의적인 정상회담
4,피고인은 동종 범행으로 처벌받은 전력이 있음에도 다시 이 사건 범행을 저질렀다.,The Defendant committed the crime in this case again even though he/she had a history of being punished for the same crime.,피고는 같은 죄로 처벌받은 전력이 있는데도 이 사건 또다시 범행을 저질렀다.
4,벌금형을 초과하는 범죄전력은 없는 점은 피고인에게 유리한 정상이다.,The fact that there is no criminal history exceeding fines is normal in favor of the Defendant.,벌금을 초과하는 범죄경력이 없다는 사실은 피고인에게 유리한 것이 보통이다.
11,음주운전으로 벌금형을 1회 선고받은 외에 다른 범죄전력은 확인되지 않는다.,No criminal record other than a fine for drunk driving is confirmed.,음주운전 벌금 외에 전과는 확인되지 않는다.
15,피고인은 2008. 2. 13. 청주지방법원 영동지원에서 성폭력범죄의 처벌 등에 관한 특례법(특수강간)죄로 징역 1년 6월에 집행유예 2년을 선고받은 전력이 있는 것을 비롯하여 2017년까지 형사처벌을 받은 전력이 7회에 이르는 점 등,"On February 13, 2008, the Defendant was sentenced to one year and six months in prison for the Special Act on the Punishment of Sexual Violence Crimes (Special Rape) at the Yeongdong Branch of the Cheongju District Court, and seven criminal penalties until 2017","2008. 2. 13. 청주지방법원 영동지원에서 성폭력범죄의 처벌 등에 관한 특례법(특수강간)으로 피고인에게 징역 1년 6개월을 선고하고, 2017년까지 형사처벌 7개를 선고하였다."
16,○ 유리한 정상 : 도박으로 2차례 벌금형 처벌을 받은 이외에 달리 형사처벌 전력 없는 점,"○ An advantageous summit: In addition to being fined twice for gambling, there is no criminal record",○ 유리한 정상회담: 도박죄로 2차례 벌금형을 받은 것 외에 전과가 없다.
17,동종범행으로 처벌받은 전력이 없고 벌금형을 초과하는 형사처벌 전력이 없는 점,The fact that there is no history of being punished for the same crime and no criminal punishment exceeding a fine,같은 죄로 처벌받은 전력이 없고 벌금을 초과하는 형사처벌을 받은 전력이 없다는 점
22,이전에 형사처벌받은 전력이 없는 초범이다.,He is a first-time offender who has no previous criminal record.,그는 전과가 없는 초범이다
28,2. 양형기준의 적용 여부: 벌금형을 선택하였으므로 양형기준이 적용되지 아니함,2. Whether the sentencing standards are applied: The sentencing standards are not applied because a fine is selected,2. 양형기준의 적용 여부 벌금이 선택되었기 때문에 양형기준이 적용되지 않습니다.
28,피고인이 이제까지 동종의 성범죄는 물론 다른 범죄로도 처벌받은 전력이 전혀 없는 초범인 점 등은 피고인에게 다소나마 유리한 정상으로 참작하고,The fact that the Defendant is a first-time offender who has no history of being punished for the same kind of sex crimes as well as other crimes is considered to be somewhat favorable to the Defendant,피고인이 동종의 성범죄는 물론 다른 범죄로 처벌받은 전력이 없는 초범이라는 점이 피고인에게 다소 유리하다고 볼 수 있다.
37,500만 원 이하의 벌금형 2. 양형기준의 미적용 : 벌금형을 선택하여 양형기준을 적용하지 않는다.,Penalty of not more than 5 million won 2. Not applicable to the sentencing standard: The sentencing standard is not applied by selecting the fine.,500만원 이하의 벌금 2. 다음은 양형기준에 해당되지 않음: 벌금형을 선택해 양형기준을 적용하는 것은 아니다.
37,피고인에게 동종 성범죄 전력은 없고,The defendant has no history of same sex crimes,피고는 동일한 성범죄 전력이 없다.
37,벌금형으로 처벌받은 전력만 1회 있다.,There is only one history of being punished with a fine.,벌금형을 선고받은 전력은 단 한 차례다.
60,피고인이 이제까지 동종 성범죄로 처벌을 받거나 벌금형을 넘는 형사처벌을 받은 전력은 없는 점을 피고인에게 다소나마 유리한 정상으로 참작하고,Taking into account the fact that the Defendant has never been punished for the same-sex crime or received criminal punishment exceeding a fine as a somewhat favorable summit for the Defendant,피고인에게 다소 유리한 정상회담으로서 피고인이 동성범죄로 처벌받은 적이 없거나 벌금을 초과하는 형사처벌을 받은 적이 없는 점 등을 참작하여
61,피고인은 초범이고 적어도 가정과 학교에서는 별다른 문제를 일으키지 않고 지내온 것으로 보이는 점,The Defendant is a first-time offender and at least seems to have not caused any problems at home and school,피고는 초범이고 적어도 가정과 학교에서 문제를 일으키지 않은 것으로 보인다.
63,3. 선고형의 결정: 징역 6월에 집행유예 2년,3. Sentencing decision: imprisonment for six months and probation for two years,"3. 선고결정 : 징역 6개월, 집행유예 2년"
63,피고인이 집행유예 기간 중 자중하지 아니하고 이 사건 범행을 저지른 점,The fact that the Defendant committed the crime in this case without self-respect during the probation period,이 사건 피고인이 보호관찰 기간 중에 자존심 없이 범행을 저질렀다는 점
63,피고인에게 동종 범죄전력이 없는 점,The fact that the Defendant has no history of the same kind of crime,피고인이 동종범죄 전력이 없다는 점
63,이후 집행유예 기간이 도과하였고 이 사건 범행은 집행유예의 원인 된 범행과는 범죄의 종류나 성격을 달리하는 것인 점 등 피고인을 위하여 참작할 정상과 그 밖에 피고인의 연령,"Since then, the probation period has elapsed, and the normal level and other age of the Defendant to be taken into account for the Defendant, such as the fact that the crime in this case differs in type or nature from the crime that caused the probation","이후 보호관찰기간이 경과하여 피고인의 정상수준 및 기타 연령을 참작하여야 할 사항으로서, 이 사건 범죄가 보호관찰의 원인이 된 범죄와 유형이나 성격이 다른 점 등이 있다."
63,전과(성범죄 처벌 전력 없음) 및 재범의 위험성,Criminal convictions (no history of sexual crimes) and the risk of recidivism,유죄판결(성범죄 전력 없음) 및 재범 위험성
74,2017년 도로교통법위반(음주운전)죄로 벌금형의 처벌을 받은 외 다른 처벌전력 없는 점 및 그 밖에 피고인의 연령,The fact that there is no history of punishment other than a fine for violating the Road Traffic Act (Drunk Driving) in 2017 and the age of the Defendant,2017년 도로교통법 위반(음주운전) 벌금 외에 처벌받은 전력이 없다는 점과 피고인의 나이
75,이에 피해자가 이 법원에 증인으로 출석하여 피고인의 형사처벌을 원한다는 의사를 밝힌 바 있으므로,"Accordingly, the victim appeared as a witness in this court and expressed his intention to seek criminal punishment from the defendant",이에 피해자가 이 법정에 증인으로 출석하여 피고인에게 형사처벌을 받으려는 의사를 밝혔다.
75,피고인이 이제까지 형사처벌을 받은 전력이 없는 초범이라는 점을 감안하더라도,"Even considering that the defendant is a first-time offender who has never been criminally punished,","피고인이 형사처벌을 받은 적이 없는 초범임을 감안하더라도,"
77,◯ 유리한 양형 요소 : 동종전과가 없고,◯ An advantageous sentencing factor: no homologous criminal record,◯ 유리한 양형 요인: 동종 전과 없음
77,벌금형을 초과하는 형사처벌을 받은 적도 없다.,He has never been criminally punished beyond the fine.,그는 벌금형 이상의 형사처벌을 받은 적이 없다.
87,동종범죄로 처벌받은 전력이나 벌금형을 초과하는 처벌을 받은 전력은 없는 점 등을 피고인에게 유리한 정상으로 참작하고,"Taking into account the fact that there is no history of being punished for the same kind of crime or a history of being punished exceeding a fine, etc. as normal in favor of the Defendant",피고인에게 유리하게 하여 동종범죄로 처벌받은 전력이 없거나 벌금 등을 초과하여 처벌받은 전력이 없는 점 등을 참작하여
96,성폭력범죄의 처벌 등에 관한 특례법(비밀준수등)위반죄로 각 벌금형을 선고받은 적이 있고,"He has been sentenced to each fine for violating the Special Act on the Punishment, etc. of Sexual Violence Crimes (Secret Compliance, etc.)",성폭력범죄의 처벌 등에 관한 특례법 위반(비밀준수 등)으로 벌금형을 각각 선고받았다.
96,2017. 3. 15. 강제추행죄로 징역형의 집행유예를,"On March 15, 2017, suspended prison sentence for forced harassment",2017. 3. 15. 강제추행죄 징역형 집행유예
110,3. 선고형의 결정: 피고인은 2017년 이 사건과 동일한 내용의 범행으로 벌금형의 처벌을 받은 전력이 있는 점,3. Decision of sentence: The Defendant has a history of being punished with a fine for the same crime as this case in 2017,3. 선고의 결정: 피고는 2017년 이 사건과 같은 죄로 벌금형을 선고받은 전력이 있다.
114,동종 범행으로 처벌받은 전력이 없는 점,The fact that he has no history of being punished for the same crime,같은 죄로 처벌받은 전력이 없다는 사실은
119,피고인은 이전에 성범죄로 처벌받은 전력이 없고 집행유예 이상의 전과도 없다.,The Defendant has no previous history of being punished for sex crimes and has no criminal record of more than probation.,피고인은 성범죄로 처벌받은 전력이 없고 집행유예 이상의 전과가 없다.
133,동종범행으로 처벌받은 전력이 있다.,He has a history of being punished for a crime of the same kind.,그는 동종 범죄로 처벌받은 전력이 있다
133,벌금형을 초과하는 형사처벌을 받은 전력은 없는 점 등을 참작하여 주문과 같이 형을 정한다.,The sentence is determined as per Disposition in consideration of the fact that there is no criminal record of criminal punishment exceeding the fine.,벌금형을 초과한 형사처벌 전과가 없는 점 등을 고려해 처분에 따라 형을 결정한다.
144,피고인이 특수상해죄로 인한 보호관찰부 집행유예 기간 중 이 사건 범행을 저지른 점 등은 불리한 정상이다.,It is disadvantageous that the Defendant committed the crime in this case during the probation period due to special injury.,이 사건 피고인이 보호관찰 기간 중에 특수상해로 인하여 범행을 저지른 것은 불리하다.
144,피고인에게 동종 전력이 없는 점 등은 유리한 정상으로 참작한다.,The fact that the Defendant has no history of the same kind is taken into account as an advantageous normal.,피고가 동종의 이력이 없는 점이 유리한 정상으로 참작된다.
149,- 일반긍정사유: 동종 전과 없고,- General reasons for positivity: no priorities of the same kind,- 긍정의 일반적인 이유: 동일한 종류의 우선 순위 없음
152,피고인은 벌금형을 초과하여 처벌받은 전력이 없다.,The Defendant has no history of being punished for exceeding the fine.,피고는 벌금을 초과하여 처벌받은 전력이 없다.
157,피고인은 동종 범행으로 형사처벌을 받은 전력이나 벌금형 이상의 범죄전력은 없다.,The Defendant has no criminal record of being punished for the same crime or no criminal record more than a fine.,피고인은 같은 범죄로 처벌받은 전과가 없거나 벌금형 이상의 전과가 없다.
169,피고인은 이 사건 이전까지 아무런 형사처벌을 받은 전력이 없다.,The Defendant has no history of criminal punishment before this case.,피고는 이 사건 이전에 형사처벌을 받은 전력이 없다.
170,피고인이 이제까지 동종의 성범죄는 물론 다른 범죄로도 형사처벌을 받은 전력이 전혀 없는 초범인 점을 피고인에게 다소나마 유리한 정상으로 참작하고,"Taking into account the fact that the Defendant is a first-time offender who has never been criminally punished for the same kind of sex crimes as well as other crimes as somewhat favorable to the Defendant,","피고인이 초범으로서 피고인에게 다소 유리한 점으로서 동종의 성범죄 뿐만 아니라 다른 범죄에 대해서도 형사처벌을 받은 적이 없는 점에 비추어 볼 때,"
193,동종 범죄전력도 있다.,There is also a history of homogeneous crime.,동종 범죄의 역사도 있다.
197,3. 선고형의 결정: 징역 8월 및 집행유예 2년,3. Decision of sentence: 8 months in prison and 2 years of probation,3. 선고공판 : 징역 8개월에 집행유예 2년
197,동종범죄로 처벌받은 전력 및 벌금형을 초과하는 처벌전력이 없는 점 등,"The fact that there is no history of punishment exceeding the same crime and fines, etc",같은 죄와 벌금을 초과하는 처벌을 받은 전력이 없다는 점 등
202,피고인이 초범이고,The defendant is the first offender,피고는 초범이다.
204,피고인이 이종 범죄로 형사처벌을 받은 전력도 수회 있고,The defendant has several criminal records for heterogeneous crimes,피고는 이질적인 범죄에 대한 몇 가지 전과를 가지고 있다.
204,동종 범행으로 교육이수조건부 기소유예 처분을 받은 적도 있다.,There was also a time when he was suspended from prosecution on condition of completion of education for the same crime.,같은 범죄로 교육 이수를 조건으로 기소유예 처분을 받은 적도 있다.
207,동종전과나 근 20년 이내 벌금형보다 무거운 전과가 없고 술에 많이 취한 상태에서 범행이 이르렀던 것으로 보이는 점 등 일부 유리한 정상도 인정되는바,"Some favorable circumstances are also recognized, such as the fact that there is no criminal record heavier than a fine within the past 20 years and that the crime appears to have reached while drunk","최근 20년 이내 벌금형 이상의 전과가 없고, 만취 상태에서 범행이 이뤄진 것으로 보이는 등 일부 유리한 정황도 인정된다."
210,벌금형으로 1회 처벌받은 외 동종 성범죄로 처벌받은 전력 없는 점 등을 유리한 정상으로 고려하고,"Considering the fact that there is no history of being punished for same-sex crimes other than being punished once with a fine as an advantageous normal,","유리한 정상으로서 벌금형을 한 차례 받은 것 외에 동성범죄로 처벌받은 전력이 없다는 점을 고려하면,"
217,동종 처벌전력 및 벌금형을 초과하는 전력은 없는 점 등 피고인에게 유리한 정상들과 그 밖에 피고인의 나이,"Normal leaders in favor of the Defendant, such as the fact that there is no history of the same kind of punishment and no history exceeding the fine, and other age of the Defendant","피고에게 유리한 정상적인 지도자로서 동종의 형벌을 받은 전력이 없고 벌금을 초과한 전력이 없다는 점, 피고의 그 밖의 연령 등"
219,피고인은 공연음란죄로 벌금형을 선고받은 전력이 2회 있으나,"The defendant has been fined twice for performing pornography,","피고는 음란행위를 한 죄로 두 차례 벌금형을 선고받았고,"
221,누범기간 중에 이 사건 범행을 저질렀고,He committed this case during his time of recidivism,그는 재범기에 이 사건을 저질렀다.
241,비교적 오래 전 범행이긴 하지만 동종범행으로 몇 차례 처벌받은 전력이 있는 점,"It was a relatively long time ago, but there was a history of being punished several times for the same crime",비교적 오래 전 일이지만 같은 범죄로 여러 차례 처벌을 받은 전력이 있다.
242,피고인은 동종 전과가 없고 집행유예 이상의 전과도 없다.,The Defendant has no criminal record of the same kind and has no criminal record of more than probation.,피고는 동종의 전과가 없고 집행유예 이상의 전과가 없다.
245,형사처벌 전력 없음,No criminal record,전과기록이 없다.
245,- 일반긍정사유 : 동종 전과 없고,- General reasons for positivity: No priorities of the same kind,- 긍정의 일반적인 이유: 동일한 종류의 우선 순위 없음
245,아무런 형사처벌 전력이 없는 초범인 점,He's a first-time offender with no criminal record,전과가 없는 초범입니다
251,한편 피고인은 2010년 주거침입강간으로 형사처벌을 받은 전력이 있고,"Meanwhile, the Defendant had a history of criminal punishment for breaking into a house in 2010",한편 피고인은 2010년 주택에 침입하여 형사처벌을 받은 전력이 있다.
251,이외에도 각종 범죄로 여러 차례 형사처벌을 받은 전력이 있다.,"In addition, he has a history of criminal punishment several times for various crimes.",그 외에도 각종 범죄로 수차례 형사처벌을 받은 전력이 있다.
251,피고인은 2010년 성폭력범죄로 형사처벌을 받은 전력이 있기는 하나,"Although the defendant had a history of criminal punishment for sexual violence crimes in 2010,","피고인은 2010년 성폭력범죄에 대한 형사처벌 전력이 있으나,"
252,피고인이 형사처벌을 받은 전력이 없는 초범이다.,It is a first-time offender who has no history of criminal punishment.,형사처벌 전력이 없는 초범이다.
254,㉡ 전과가 없는 초범인 점(증거기록 제119쪽 참조),㉡ The fact that he is a first offender without a criminal record (see page 119 of the evidence record),㉡ 전과가 없는 초범이라는 사실(증거기록 119페이지 참조)
261,벌금형 이외의 범죄 전력이나 동종의 범죄 전력은 확인되지 않는다.,No criminal history other than fines or criminal history of the same kind is confirmed.,벌금 외의 전과나 동종의 전과는 확인되지 않는다.
262,○ 유리한 정상: 피고인이 동종 범죄로 처벌받은 전력은 없는 점,○ Advantageously normal: The Defendant has no history of being punished for the same kind of crime,○ 유리하게 정상: 피고는 같은 종류의 범죄로 처벌받은 전력이 없다.
272,동종 범죄로 처벌받은 전력이 없는 점,the fact that there is no history of being punished for a crime of the same kind,동종의 범죄로 처벌받은 전력이 없다는 사실
277,피고인이 사실상 초범인 점,the fact that the defendant is practically a first-time offender,피고가 사실상 초범이라는 사실
280,[집행유예 여부],[Whether to suspend execution],[실행정지 여부]
280,피고인에게 이종 전과가 다수 존재한다.,The defendant has a number of criminal records of different species.,피고는 여러 종의 전과가 있다.
281,피고인이 이제까지 성범죄로 형사처벌을 받은 전력은 없는 점,The fact that the defendant has never been criminally punished for sex crimes,피고인이 성범죄로 형사처벌을 받은 적이 없다는 사실
302,피고인이 형사처벌을 받은 전력이 없는 초범인 점,The fact that the Defendant is a first-time offender who has no history of criminal punishment,피고인이 초범으로서 형사처벌 전력이 없는 점
304,○ 동종의 성폭력범죄로 이미 여러 차례 처벌받은 전력이 있다.,○ He has already been punished several times for the same kind of sexual violence crime.,○ 그는 이미 같은 종류의 성폭력 범죄로 여러 차례 처벌을 받았다.
312,아무런 형사처벌 받은 전력이 없는 초범인 점 등을 고려하더라도 피고인에게 실형을 선고하는 것이 불가피하여 주문과 같이 형을 정한다.,"Even considering that he is a first-time offender with no criminal record, it is inevitable to sentence the Defendant to prison, so the sentence is set as ordered.",전과가 없는 초범임을 감안하더라도 피고인에게 실형을 선고할 수밖에 없어 명령대로 형이 정해져 있다.
323,피고인이 동종 전과 및 벌금형을 초과하여 처벌받은 전력이 없는 점,The fact that the Defendant has no history of being punished for exceeding the same criminal record and fines,피고인이 동종 전과와 벌금을 초과하여 처벌받은 전력이 없다는 사실
